AppBundle\Entity\Employee,,,,,,,,
firstName,lastName,dob,position,avatar,biography,createdAt,updatedAt,
Володимир,Осипов,<dateTime()>,theatre_director,"<getMedia('avatars/vladimir-osipov.jpg', 'employee')>","У театрі на посаді директора працює з 1999 року.Заслужений діяч мистецтв України з 2009 року. Закінчив Київський державний інститут театрального мистецтва ім. Карпенка-Карого у 1993 році. Театрознавець, організатор театральної справи.","<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Сергій,Проскурня,<dateTime()>,acting_artistic_director,"<getMedia('avatars/serhiy-proskurnja.jpg', 'employee')>",-,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Олександр,Павлютін,<dateTime()>,production_director,"<getMedia('avatars/oleksandr-pavlutin.jpg', 'employee')>",в театрі працює з 2002 року. В.О художнього керівника театру з 2010 року. Закінчив Київський державний інститут театрального мистецтва ім. Карпенка-Карого у 2002 році.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Сергій,Ридванецький,<dateTime()>,main_artist,"<getMedia('avatars/serhiy-ridvaneckij.jpg', 'employee')>","Головний художник У театрі з 2003 року. Закінчив Львівський державний інститут прикладного і декоративного мистецтва у 1991 році. Художник декоративно-прикладного мистецтва. Поставлено 39 вистав, з них у Черкаському театрі - 8","<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Наталія,Ридванецька,<dateTime()>,costumer,"<getMedia('avatars/nataliya-ridvanetska.jpg', 'employee')>","Художник по костюмах. У театрі з 2003 року.Закінчила Львівський державний інститут прикладного і декоративного мистецтва у 1992 році. Художник-технолог. Поставлено 43 вистави, з них у Черкаському театрі - 12.","<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Надія,Нікіфорова,<dateTime()>,art_director,"<getMedia('avatars/nadiya-nikifirova.jpg', 'employee')>","Художник-постановник, у театрі з 1980 року. Закінчила Ленінградський державний інститут театру, музики і кінематографії у 1980 році. Поставлено 70 вистав, у Черкаському театрі - 55.","<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Володимир,Татарінов,<dateTime()>,main_choreographer,"<getMedia('avatars/volodymyr-tatarinov.jpg', 'employee')>",Заслужений артист України з 2007 року.Балетмейстер-постановник.У театрі з 1984 року. Закінчив Дніпропетровське державне театральне училище у 1972 році.Керівник хореографічного колективу.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Варвара,Присяжненко,<dateTime()>,head_of_the_literary_and_dramatic_part,"<getMedia('avatars/varvara-prisagnenko.jpg', 'employee')>",Заслужений працівник культури України з 2007 року. Керівник літературно-драматичною частиною. Закінчила Київський державний інститут театрального мистецтва ім. Карпенка-Карого у 1975 році. У театрі з 1975 року.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Олена,Бєлкіна,<dateTime()>,conductor,"<getMedia('avatars/olene-belkina.jpg', 'employee')>","В театрі працює з 1995 року на посаді концертмейстер, з 2008 року диригент. Закінчила черкаське музичне училище ім. С. Гулака-Артемовського.","<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Світлана,Лежненко,<dateTime()>,accompanist,"<getMedia('avatars/svitlana-lezhnenko.jpg', 'employee')>",-,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Галина,Кириченко,<dateTime()>,accompanist,"<getMedia('avatars/galyna-kuruchenko.jpg', 'employee')>",В театрі з 1997 року. Закінчила Черкаське музичне училище імені С.Гулака-Артемовського.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Сергій,Бобров,<dateTime()>,actor,"<getMedia('avatars/serhiy-bobrov.jpg', 'employee')>",Заслужений артист України з 2009 року. У театрі працює з 1996 року. Закінчив Дніпропетровське державне театральне училище у 1996 році.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Наталія,Вігран,<dateTime()>,actress,"<getMedia('avatars/nataliya-vigran.jpg', 'employee')>",Заслужена артистка України з 2009 року. У театрі працює з 1994 року,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Марія,Марущак,<dateTime()>,actress,"<getMedia('avatars/mariya-maryshchak.jpg', 'employee')>",У театрі з 2008 року.Закінчила Вінницьке училище культури і мистецтв,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Юрій,Берлінський,<dateTime()>,actor,"<getMedia('avatars/yuriy-berlinskij.jpg', 'employee')>",Народний артист України з 2007 року. У театрі працює з 1980 року. Закінчив Київський держаний інститут театрального мистецтва ім. Карпенка-Карого у 1980 році.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Світлана,Амеліна,<dateTime()>,actress,"<getMedia('avatars/svitlana-amelina.jpg', 'employee')>",в театрі працює з 2008 року,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Анна,Боброва,<dateTime()>,actress,"<getMedia('avatars/anna-bobrova.jpg', 'employee')>",В театрі з 2007 року.Закінчила Канівське училище культури і мистецтв у 2007 році,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Олена,Брехаря,<dateTime()>,actress,"<getMedia('avatars/olena-brehara.jpg', 'employee')>",у театрі працює з 2008 року,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Лілія,Бурлакова,<dateTime()>,actress,"<getMedia('avatars/liliya-byrlakova.jpg', 'employee')>",в театрі працює з 2003 року. Закінчила Рівненський державний гуманітарний університет у 2004 році.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Оксана,Вовкостріл,<dateTime()>,actress,"<getMedia('avatars/oksana-vovkostril.jpg', 'employee')>",в театрі працює з 2009 року,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Олександр,Гелеверя,<dateTime()>,actor,"<getMedia('avatars/oleksandr-gelevera.jpg', 'employee')>",в театрі працює з 2009 року,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Микола,Глазов,<dateTime()>,actor,"<getMedia('avatars/mykola-glazov.jpg', 'employee')>","У театрі з 1977 року по 1986 рік, з 1996 року по 2000 рік, з 2002 року по 2003 рік та з 2006 року. Закінчив Київський інститут театрального мистецтва ім. І.К.Карпенка-Карого","<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Ірина,Глазова,<dateTime()>,actress,"<getMedia('avatars/iryna-glazova.jpg', 'employee')>",У театрі з 2000 року по 2006 рік та з 2010 року. Закінчила Дніпропетровський державний обласний театрально-художній коледж,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Наталія,Глазова,<dateTime()>,actress,"<getMedia('avatars/nataliya-glazova.jpg', 'employee')>", У театрі з 1976 року. Закінчила Канівське культпросвітнє училище,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Павло,Гончаров,<dateTime()>,actor,"<getMedia('avatars/pavlo-goncharov.jpg', 'employee')>",у театрі працює з 2008 року. Закінчив Дніпропетровський державний обласний театрально-художній коледж у 1998 році.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Юрій,Гребень,<dateTime()>,actor,"<getMedia('avatars/yuriy-greben.jpg', 'employee')>",в театрі працює з 1998 року. Закінчив Канівське училище культури у 1997 році.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Тетяна,Гребень,<dateTime()>,actress,"<getMedia('avatars/tetyana-greben.jpg', 'employee')>",У театрі працює з 1996 року. Закінчила Дніпропетровське державне театральне училище у 1996 році.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Олександр,Гуменний,<dateTime()>,actor,"<getMedia('avatars/oleksandr-gymennuj.jpg', 'employee')>",в театрі працює з 2008 року. Закінчив Київський гірничо-транспортний технікум у 1996 році.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Юлія,Донська-Гуменна,<dateTime()>,actress,"<getMedia('avatars/yuliya-gymenna.jpg', 'employee')>",В театрі з 2008 року.Закінчила Миколаївське державне вище училище культури у 2008 році.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Микола,Зайнчківський,<dateTime()>,actor,"<getMedia('avatars/mykola-zajnchkivskij.jpg', 'employee')>",Заслужений артист України з 2010 року. У театрі працює з 1986 року. Закінчив Київський державний інститут театрального мистецтва ім. Карпенка-Карого у 1986 році.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Анжеліна,Іванова,<dateTime()>,actress,"<getMedia('avatars/anzhelina-ivanova.jpg', 'employee')>",У театрі працює з 1996 року. Закінчила Дніпропетровське державне театральне училище у 1996 році.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Валерій,Кириченко,<dateTime()>,actor,"<getMedia('avatars/valeriy-kirichenko.jpg', 'employee')>",в театрі працює з 2003 року,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Олексій,Клименко,<dateTime()>,actor,"<getMedia('avatars/oleksiy-klimenko.jpg', 'employee')>",У театрі працює з 2012 року. Закінчив Харківський державний університет мистецтв ім. І.П.Котляревського у 2012 році.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Сергій,Коваленко,<dateTime()>,actor,"<getMedia('avatars/serhiy-kovalenko.jpg', 'employee')>",В театрі з 2012 року. Закінчив Черкаський національний університет ім. Богдана Хмельницького.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Вікторія,Ковальoва,<dateTime()>,actress,"<getMedia('avatars/viktoriya-kovaleva.jpg', 'employee')>",в театрі працює з 1989 року,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Віктор,Коломієць,<dateTime()>,actor,"<getMedia('avatars/viktor-kolomiec.jpg', 'employee')>",Заслужений артист України. B театрі з 1976 року. Закінчив Київський державний інститут театрального мистецтва ім. Карпенка-Карого у 1976 році.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Михайло,Кондратський,<dateTime()>,actor,"<getMedia('avatars/mykhaylo-kondratskij.jpg', 'employee')>",B театрі з 1988 року. Закінчив Київський державний університет культури та мистецтв у 2002 році.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Надія,Корбут,<dateTime()>,actress,"<getMedia('avatars/nadiya-korbut.jpg', 'employee')>",У театрі працює з 2005 року. Закінчила Ужгородське училище культури у 2002 році.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Тетяна,Крижанівська,<dateTime()>,actress,"<getMedia('avatars/tetyana-krizhanivska.jpg', 'employee')>",Заслужена артистка України. в театрі працює з 1979 року. Закінчила Державний інститут театрального мистецтва ім. Луначарського у 1984 році.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Олександр,Кузьменко,<dateTime()>,actor,"<getMedia('avatars/oleksandr-kuzmenko.jpg', 'employee')>",У театрі працює з 1997 року. Закінчив Дніпропетровське державне театральне училище у 1997 році.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Олександр,Кузьмин,<dateTime()>,actor,"<getMedia('avatars/oleksandr-kyzmun.jpg', 'employee')>",Заслужений артист України - 2009 рік.  У театрі з 2008 року. Закінчив Харківський інститут мистецтв ім. І.Котляревського., Works in the theatre since 2008. Graduated from the Kharkov Institute of Arts n.a. Kotlyarevskyi,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>"
Анна,Куриленко,<dateTime()>,actress,"<getMedia('avatars/anna-kyrulenko.jpg', 'employee')>","у театрі з 2011 року. Закінчила Черкаське музичне училище ім. С.С. Гулака - Артемовського 2008р. продовжує навчання в Київському національному універститеті театру, кіно і телебачення ім. І. Карпенка - Карого","<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Наталія,Мамалига,<dateTime()>,actress,"<getMedia('avatars/nataliya-mamalyga.jpg', 'employee')>",Заслужена артистка України з 2009 року.У театрі працює з 1994 року. Закінчила Київську державну консерваторію ім. Чайковського у 1992 році.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Ірина,Маслова,<dateTime()>,actress,"<getMedia('avatars/iryna-maslova.jpg', 'employee')>", в театрі працює з 1998 року,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Світлана,Москаленко,<dateTime()>,actress,"<getMedia('avatars/svitlana-moskalenko.jpg', 'employee')>",Заслужена артистка України. У театрі працює з 2002 року. Закінчила драматичну студію при театрі ім. І.Франка у 1975 році.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Наталія,Панєкіна,<dateTime()>,actress,"<getMedia('avatars/nataliya-panekina.jpg', 'employee')>",У театрі працює з 2012 року. Закінчила Харківський державний університет мистецтв ім. І.П.Котляревського у 2011 році.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Наталія,Науменко,<dateTime()>,actress,"<getMedia('avatars/nataliya-naumenko.jpg', 'employee')>",в театрі працює з 2002 року,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Сергій,Пономаренко,<dateTime()>,actor,"<getMedia('avatars/serhiy-ponomarenko.jpg', 'employee')>",в театрі працює з 2003 року,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Олена,Пономаренко,<dateTime()>,actress,"<getMedia('avatars/olena-ponomarenko.jpg', 'employee')>",в театрі працює з 2003 року,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Лідія,Попова,<dateTime()>,actress,"<getMedia('avatars/lidiya-popova.jpg', 'employee')>",Заслужена артистка України з 1978 року. в театрі працює з 1973 року. Закінчила Дніпропетровське державне театральне училище у 1962 році.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Дмитро,Потапчук,<dateTime()>,actor,"<getMedia('avatars/dmytro-potapchyk.jpg', 'employee')>",в театрі працює з 2010 року. Закінчив Рівненський державний гуманітарний університет,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Олександр,Приз,<dateTime()>,actor,"<getMedia('avatars/oleksandr-pruz.jpg', 'employee')>",У театрі працює з 2005 року ,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Юрій,Прокопчук,<dateTime()>,actor,"<getMedia('avatars/yuriy-prokopchuk.jpg', 'employee')>",в театрі працює з 1998 року .Закінчив Київський державний інститут театрального мистецтва ім. Карпенка-Карого.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Олександр,Пятківський,<dateTime()>,actor,"<getMedia('avatars/oleksandr-pjatkivskij.jpg', 'employee')>",в театрі працює з 1977 року,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Ольга,Ромодан,<dateTime()>,actress,"<getMedia('avatars/olha-romodan.jpg', 'employee')>",в театрі працює з 1990 року,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Любов,Скобель,<dateTime()>,actress,"<getMedia('avatars/lyubov-skobel.jpg', 'employee')>",Заслужена артистка України з 2006 року. У театрі працює з 1977 року. Закінчила драматичну студію при театрі ім. І.Франка у 1977 році.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Евген,Скрипніченко,<dateTime()>,actor,"<getMedia('avatars/evhen-skrupnichenko.jpg', 'employee')>",У театрі працює з 2008 року,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Людмила,Талах,<dateTime()>,actress,"<getMedia('avatars/lydmyla-talah.jpg', 'employee')>",Заслужена артистка України. Закінчила Київський державний інститут театрального мистецтва ім. Карпенка-Карого у 1967 році. в театрі працює з 1967 року,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Олег,Телятник,<dateTime()>,actor,"<getMedia('avatars/oleh-telatnik.jpg', 'employee')>",в театрі працює з 2005 року. Закінчив Харківський державний інститут культури у 1995 році.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Світлана,Терещенко,<dateTime()>,actress,"<getMedia('avatars/svitlana-tereshchenko.jpg', 'employee')>",У театрі з 2009 року. 3акінчила Київський державний інститут театрального мистецтва ім. І.К.Карпенка-Карого,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Лілія,Харченко,<dateTime()>,actress,"<getMedia('avatars/liliya-harchenko.jpg', 'employee')>", в театрі працює з 1998 року,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Костянтин,Шаєнко,<dateTime()>,actor,"<getMedia('avatars/kostyantyn-shaenko.jpg', 'employee')>",в театрі працює з 2003 року,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Катерина,Шакалова,<dateTime()>,actress,"<getMedia('avatars/kateryna-shakalova.jpg', 'employee')>",в театрі працює з 2003 року. Закінчила Дніпропетровський театрально-художній коледж.,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Петро,Голубченко,<dateTime()>,actor,"<getMedia('avatars/petro-golybchenko.jpg', 'employee')>",В театрі з 2014 року,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Катерина,Олейнікова,<dateTime()>,actress,"<getMedia('avatars/kateryna-olejnikova.jpg', 'employee')>",В театрі з 2014 року,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Олена,Передрій,<dateTime()>,actress,"<getMedia('avatars/olena-peredriy.jpg', 'employee')>",В театрі з 2014 року,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
Максим,Рижевол,<dateTime()>,actor,"<getMedia('avatars/maksym-ruzhevol.jpg', 'employee')>",В театрі з 2014 року,"<dateTimeBetween('-200 days', 'now')>","<dateTimeBetween($createdAt, 'now')>",
