Slug,Title,Link,Age Limit,Producer,Len
lesia-ukrayinka,Леся Українка,https://theatre-shevchenko.ck.ua/uk/performance/lesia-ukrayinka,16,Гончаров П. Д.,80
prigodi-v-krayini-svitloforiyi,ПРИГОДИ В КРАЇНІ СВІТЛОФОРІЇ,https://theatre-shevchenko.ck.ua/uk/performance/prigodi-v-krayini-svitloforiyi,0,Кузьмин О. Б.,50
osmachka-vilnii,Осьмачка... Вільний,https://theatre-shevchenko.ck.ua/uk/performance/osmachka-vilnii,16,Садаклієв С. С.,70
kontrabas-rozbushuvavsia,Контрабас розбушувався,https://theatre-shevchenko.ck.ua/uk/performance/kontrabas-rozbushuvavsia,16,Жила В. М.,120
solnii-poetichnii-kontsert-krila,"СОЛЬНИЙ ПОЕТИЧНИЙ КОНЦЕРТ ""КРИЛА""",https://theatre-shevchenko.ck.ua/uk/performance/solnii-poetichnii-kontsert-krila,12,Ластівка О. С.,60
rizdvianie-viertiepnie-diistvo,РІЗДВЯНЕ ВЕРТЕПНЕ ДІЙСТВО,https://theatre-shevchenko.ck.ua/uk/performance/rizdvianie-viertiepnie-diistvo,12,Ластівка П. П.,80
snigova-korolieva,СНІГОВА КОРОЛЕВА,https://theatre-shevchenko.ck.ua/uk/performance/snigova-korolieva,0,Садаклієв С. С.,75
kaidashieva-sim-ia,Кайдашева сім'я,https://theatre-shevchenko.ck.ua/uk/performance/kaidashieva-sim-ia,12,Куниця А. ,160
zhinocha-logika,ЖІНОЧА ЛОГІКА,https://theatre-shevchenko.ck.ua/uk/performance/zhinocha-logika,16,Колосович Л. Л.,120
kotik-pivnik-i-lisichka,"КОТИК, ПІВНИК І ЛИСИЧКА",https://theatre-shevchenko.ck.ua/uk/performance/kotik-pivnik-i-lisichka,0,Кузьмин О. Б.,50
pribuliets,ПРИБУЛЕЦЬ,https://theatre-shevchenko.ck.ua/uk/performance/pribuliets,16,Павлютін О. В.,60
oliena-nie-priishla-dodomu,« Олена …не прийшла додому»,https://theatre-shevchenko.ck.ua/uk/performance/oliena-nie-priishla-dodomu,16,Жила В. М.,120
korolieva-zagublienikh-g-udzikiv,КОРОЛЕВА ЗАГУБЛЕНИХ ҐУДЗИКІВ,https://theatre-shevchenko.ck.ua/uk/performance/korolieva-zagublienikh-g-udzikiv,0,Павлютін О. В.,55
surogatna-mama,СУРОГАТНА МАМА,https://theatre-shevchenko.ck.ua/uk/performance/surogatna-mama,16,Ластівка П. П.,130
anna-kiyivs-ka-korolieva-frantsiyi,АННА КИЇВСЬКА-КОРОЛЕВА ФРАНЦІЇ,https://theatre-shevchenko.ck.ua/uk/performance/anna-kiyivs-ka-korolieva-frantsiyi,16,Ластівка П. П.,40
obieriezhno-zhinki,ОБЕРЕЖНО ЖІНКИ,https://theatre-shevchenko.ck.ua/uk/performance/obieriezhno-zhinki,16,Колосович Л. Л.,105
visim-zhinok,ВІСІМ ЖІНОК,https://theatre-shevchenko.ck.ua/uk/performance/visim-zhinok,16,Павлютін О. В.,120
tiestostieron-abo-gormon-kokhannia,ТЕСТОСТЕРОН АБО ГОРМОН КОХАННЯ,https://theatre-shevchenko.ck.ua/uk/performance/tiestostieron-abo-gormon-kokhannia,18,Жила В. М.,130
koza-dierieza,КОЗА - ДЕРЕЗА,https://theatre-shevchenko.ck.ua/uk/performance/koza-dierieza,0,Кузьмин О. Б.,50
nie-turbuvati-shalienstvo-v-gotiel-nomu-liuksi,НЕ ТУРБУВАТИ! ШАЛЕНСТВО В ГОТЕЛЬНОМУ ЛЮКСІ,https://theatre-shevchenko.ck.ua/uk/performance/nie-turbuvati-shalienstvo-v-gotiel-nomu-liuksi,16,Павлюк С. М.,130
siroyizhka-abo-taemnitsia-lisovogo-doshchu,"СИРОЇЖКА, АБО ТАЄМНИЦЯ ЛІСОВОГО ДОЩУ",https://theatre-shevchenko.ck.ua/uk/performance/siroyizhka-abo-taemnitsia-lisovogo-doshchu,0,Павлютін О. В.,65
kozats-kii-kontsiert,КОЗАЦЬКИЙ КОНЦЕРТ,https://theatre-shevchenko.ck.ua/uk/performance/kozats-kii-kontsiert,12,Ластівка П. П.,55
buval-shchina-ukrayins-ki-vodievili,БУВАЛЬЩИНА... УКРАЇНСЬКІ ВОДЕВІЛІ,https://theatre-shevchenko.ck.ua/uk/performance/buval-shchina-ukrayins-ki-vodievili,16,Ластівка П. П.,120
ukrayina-ievropa,УКРАЇНА - ЄВРОПА,https://theatre-shevchenko.ck.ua/uk/performance/ukrayina-ievropa,16,Ластівка П. П.,80
prodaviets-doshchu,ПРОДАВЕЦЬ ДОЩУ,https://theatre-shevchenko.ck.ua/uk/performance/prodaviets-doshchu,16,Яремків М. І.,120
natalka-poltavka,НАТАЛКА ПОЛТАВКА,https://theatre-shevchenko.ck.ua/uk/performance/natalka-poltavka,16,Ластівка П. П.,120
vizok-chudies,ВІЗОК ЧУДЕС,https://theatre-shevchenko.ck.ua/uk/performance/vizok-chudies,0,Павлютін О. В.,50
mina-mazailo,МИНА МАЗАЙЛО,https://theatre-shevchenko.ck.ua/uk/performance/mina-mazailo,16,Кузьмин О. Б.,90
nu-shcho-b-zdavalosia-slova,"""Ну що б, здавалося, слова ...?""",https://theatre-shevchenko.ck.ua/uk/performance/nu-shcho-b-zdavalosia-slova,12,Прокопчук Ю.,45
vsi-mishi-liubliat-sir,ВСІ МИШІ ЛЮБЛЯТЬ СИР,https://theatre-shevchenko.ck.ua/uk/performance/vsi-mishi-liubliat-sir,0,Кузьмин О. Б.,65
korol-drozdoborod,КОРОЛЬ ДРОЗДОБОРОД,https://theatre-shevchenko.ck.ua/uk/performance/korol-drozdoborod,0,Павлютін О. В.,70
the-bilokhalatnist,the білоХАЛАТність,https://theatre-shevchenko.ck.ua/uk/performance/the-bilokhalatnist,16,Снігурченко В.,100
aladdin,АЛАДДІН,https://theatre-shevchenko.ck.ua/uk/performance/aladdin,12,Павлютін О. В.,60
nakhlibnik,НАХЛІБНИК,https://theatre-shevchenko.ck.ua/uk/performance/nakhlibnik,16,Леонід Остропольський,115
dzvinok-iz-minulogo,ДЗВІНОК ІЗ МИНУЛОГО,https://theatre-shevchenko.ck.ua/uk/performance/dzvinok-iz-minulogo,16,Володимир Цивінський,90
baba,Баба,https://theatre-shevchenko.ck.ua/uk/performance/baba,16,Олексій Кравчук,120
london,ЛОНДОН,https://theatre-shevchenko.ck.ua/uk/performance/london,16,Павло Ар’є,80
kalika-z-ostrova-inishmaan,КАЛІКА З ОСТРОВА ІНІШМААН,https://theatre-shevchenko.ck.ua/uk/performance/kalika-z-ostrova-inishmaan,16,Володимир  Петрів,180
dami-i-gusari,ДАМИ І ГУСАРИ,https://theatre-shevchenko.ck.ua/uk/performance/dami-i-gusari,16,Юрій Одинокий,120
charivnii-svit-opierieti,ЧАРІВНИЙ СВІТ ОПЕРЕТИ,https://theatre-shevchenko.ck.ua/uk/performance/charivnii-svit-opierieti,12,Прокопчук Ю.,80
viechir-za-okriemoiu-afishieiu,Вечір за окремою афішею,https://theatre-shevchenko.ck.ua/uk/performance/viechir-za-okriemoiu-afishieiu,16,Проскурня С. В.,55
snidanok-z-voroghom,Сніданок з ворогом,https://theatre-shevchenko.ck.ua/uk/performance/snidanok-z-voroghom,16,Романов А.,50
such-a-love,Така любов,https://theatre-shevchenko.ck.ua/uk/performance/such-a-love,16,Монзолевська В.,60
kit-u-chobotiakh-1,Кіт у чоботях,https://theatre-shevchenko.ck.ua/uk/performance/kit-u-chobotiakh-1,0,Павлютін О. В.,70
barvinok-ghieroi,Барвінок герой,https://theatre-shevchenko.ck.ua/uk/performance/barvinok-ghieroi,0,Павлютін О. В.,60
shiel-mienko-dienshchik,Шельменко-денщик,https://theatre-shevchenko.ck.ua/uk/performance/shiel-mienko-dienshchik,12,Олексюк О. О.,100
nazar-stodolia,Назар Стодоля,https://theatre-shevchenko.ck.ua/uk/performance/nazar-stodolia,16,Ластівка П. П.,110
sad-gietsimans-kii,Сад Гетсиманський,https://theatre-shevchenko.ck.ua/uk/performance/sad-gietsimans-kii,12,Павлюк С. М.,120
skaningh,Сканінг,https://theatre-shevchenko.ck.ua/uk/performance/skaningh,16,Снігурченко О.,75
istoriia-pro-liudinu-z-iakoiu-trapilasia-istoriia,"Історія про людину, з якою трапилася історія",https://theatre-shevchenko.ck.ua/uk/performance/istoriia-pro-liudinu-z-iakoiu-trapilasia-istoriia,16,Романов А.,55
khto-v-domi-ghospodar,Хто в домі господар?,https://theatre-shevchenko.ck.ua/uk/performance/khto-v-domi-ghospodar,12,Павлютін О. В.,120
zolotie-kurcha,Золоте курча,https://theatre-shevchenko.ck.ua/uk/performance/zolotie-kurcha,0,Ситник А. І.,50
mizantrop,Мізантроп,https://theatre-shevchenko.ck.ua/uk/performance/mizantrop,16,Павлютін О. В.,120
natiurmort-z-tovstim-niebozhiem,Натюрморт з товстим небожем,https://theatre-shevchenko.ck.ua/uk/performance/natiurmort-z-tovstim-niebozhiem,16,Павлютін О. В.,70
svatannia-na-goncharivtsi,Сватання на Гончарівці,https://theatre-shevchenko.ck.ua/uk/performance/svatannia-na-goncharivtsi,12,Сушенцев С,110
liena,Лєна,https://theatre-shevchenko.ck.ua/uk/performance/liena,16,Трунова Т.,35
sieried-ghromu-i-tishi,Серед грому і тиші,https://theatre-shevchenko.ck.ua/uk/performance/sieried-ghromu-i-tishi,12,Проскурня С. В.,70
dvanadtsiat-misiatsiv-abo-khranitieli-roku,Дванадцять місяців або хранителі року,https://theatre-shevchenko.ck.ua/uk/performance/dvanadtsiat-misiatsiv-abo-khranitieli-roku,0,Павлютін О. В.,70
troie-porosiat-1,ТРОЄ ПОРОСЯТ,https://theatre-shevchenko.ck.ua/uk/performance/troie-porosiat-1,0,Кузьмин О. Б.,50
laughter-academy,Академія сміху,https://theatre-shevchenko.ck.ua/uk/performance/laughter-academy,12,Романов А.,90
che-sity,Місто на «Ч»,https://theatre-shevchenko.ck.ua/uk/performance/che-sity,12,Май А.,100
boeing-boeing,Боїнг-Боїнг,https://theatre-shevchenko.ck.ua/uk/performance/boeing-boeing,12,Павлютін О. В.,110
tsighans-kii-baron,Циганський барон,https://theatre-shevchenko.ck.ua/uk/performance/tsighans-kii-baron,12,Марк Крон,90
martin-borulia,Мартин Боруля,https://theatre-shevchenko.ck.ua/uk/performance/martin-borulia,12,Кузьмин О. Б.,120
duzhie-prosta-istoriia,Дуже проста історія,https://theatre-shevchenko.ck.ua/uk/performance/duzhie-prosta-istoriia,12,Бойко П.,105
duma-pro-brativ-nieazovs-kikh,Дума про братів неазовських,https://theatre-shevchenko.ck.ua/uk/performance/duma-pro-brativ-nieazovs-kikh,12,Павлюк С. М.,90
sil-va,Сільва,https://theatre-shevchenko.ck.ua/uk/performance/sil-va,12,Бегма В.,130
vielikii-l-okh,Великий льох,https://theatre-shevchenko.ck.ua/uk/performance/vielikii-l-okh,16,Дзекун О.,100
vishnievii-sad,Вишневий сад,https://theatre-shevchenko.ck.ua/uk/performance/vishnievii-sad,12,Ситник А. І.,100
popieliushka,Попелюшка,https://theatre-shevchenko.ck.ua/uk/performance/popieliushka,0,Олексюк О. О.,60
tiev-ie-molochnik,"""ТЕВ'Є МОЛОЧНИК""",https://theatre-shevchenko.ck.ua/uk/performance/tiev-ie-molochnik,12,Ситник А. І.,120
za-dvoma-zaitsiami-1,За двома зайцями,https://theatre-shevchenko.ck.ua/uk/performance/za-dvoma-zaitsiami-1,12,Шитель В,130
dorogha-do-sontsia,Дорога до сонця,https://theatre-shevchenko.ck.ua/uk/performance/dorogha-do-sontsia,0,Ситник А. І.,70